### acinetobacter-recombinations-consensus_blocks_all.csv
sequence,software,gene_type,start_position,stop_position,cds_length,patientid,y_start,y_end,coordinates
NZ_CP050916.1	2070001	2080000	28	0.00030238
NZ_CP050916.1	2080001	2090000	30	0.000330538
NZ_CP050916.1	2090001	2100000	36	0.000436268
NZ_CP050916.1	2100001	2110000	37	0.000418099
NZ_CP050916.1	2110001	2120000	15	0.000124808
NZ_CP050916.1	2120001	2130000	31	0.000280294
NZ_CP050916.1	2130001	2140000	42	0.000418099
NZ_CP050916.1	2140001	2150000	17	0.000208316
NZ_CP050916.1	2150001	2160000	20	0.000277848
NZ_CP050916.1	2160001	2170000	24	0.000428724
NZ_CP050916.1	2170001	2180000	39	0.000397985
NZ_CP050916.1	2180001	2190000	31	0.000390356
NZ_CP050916.1	2190001	2200000	22	0.000167855
NZ_CP050916.1	2200001	2210000	13	0.000113628
NZ_CP050916.1	2210001	2220000	16	0.000183509
NZ_CP050916.1	2220001	2230000	25	0.000282041
NZ_CP050916.1	2230001	2240000	31	0.000246541
NZ_CP050916.1	2240001	2250000	31	0.00029399
NZ_CP050916.1	2250001	2260000	30	0.000203983
NZ_CP050916.1	2260001	2270000	31	0.000216771
NZ_CP050916.1	2270001	2280000	25	0.000184915
NZ_CP050916.1	2280001	2290000	25	0.000301474
NZ_CP050916.1	2290001	2300000	14	0.000100769
NZ_CP050916.1	2300001	2310000	32	0.000250594
NZ_CP050916.1	2310001	2320000	14	7.32355e-05
NZ_CP050916.1	2320001	2330000	18	0.000157442
NZ_CP050916.1	2330001	2340000	29	0.000381904
NZ_CP050916.1	2340001	2350000	24	0.000257932
NZ_CP050916.1	2350001	2360000	13	0.000113836
NZ_CP050916.1	2360001	2370000	23	0.000248288
NZ_CP050916.1	2370001	2380000	14	0.000120475
NZ_CP050916.1	2380001	2390000	13	5.17121e-05
NZ_CP050916.1	2390001	2400000	35	0.000272399
NZ_CP050916.1	2400001	2410000	32	0.000393541
NZ_CP050916.1	2410001	2420000	13	0.00013614
NZ_CP050916.1	2420001	2430000	28	0.000375144
NZ_CP050916.1	2430001	2440000	17	0.000151299
NZ_CP050916.1	2440001	2450000	16	6.84182e-05
NZ_CP050916.1	2450001	2460000	21	0.000117066
NZ_CP050916.1	2460001	2470000	24	0.000162355
NZ_CP050916.1	2470001	2480000	29	0.000347939
NZ_CP050916.1	2480001	2490000	22	0.000201188
NZ_CP050916.1	2490001	2500000	7	5.87701e-05
NZ_CP050916.1	2500001	2510000	20	0.000295127
NZ_CP050916.1	2510001	2520000	25	0.000244794
NZ_CP050916.1	2520001	2530000	34	0.000483512
NZ_CP050916.1	2530001	2540000	18	0.000116003
NZ_CP050916.1	2540001	2550000	33	0.000347939
NZ_CP050916.1	2550001	2560000	24	0.000272187
NZ_CP050916.1	2560001	2570000	25	0.000175961
NZ_CP050916.1	2570001	2580000	23	0.000335919
NZ_CP050916.1	2580001	2590000	24	0.000454927
NZ_CP050916.1	2590001	2600000	46	0.000419916
NZ_CP050916.1	2600001	2610000	34	0.000320545
NZ_CP050916.1	2610001	2620000	48	0.000595576
NZ_CP050916.1	2620001	2630000	34	0.000467275
NZ_CP050916.1	2630001	2640000	9	4.53125e-05
NZ_CP050916.1	2640001	2650000	48	0.000391916
NZ_CP050916.1	2650001	2660000	4	6.01178e-06
NZ_CP050916.1	2660001	2670000	12	2.43427e-05
NZ_CP050916.1	2670001	2680000	15	0.000301766
NZ_CP050916.1	2680001	2690000	22	0.000313068
NZ_CP050916.1	2690001	2700000	10	8.42767e-05
NZ_CP050916.1	2700001	2710000	28	0.000285395
NZ_CP050916.1	2710001	2720000	15	0.000102313
NZ_CP050916.1	2740001	2750000	1	3.68282e-05
NZ_CP050916.1	2750001	2760000	89	0.00174571
NZ_CP050916.1	2760001	2770000	300	0.00698491
NZ_CP050916.1	2770001	2780000	229	0.00521559
NZ_CP050916.1	2780001	2790000	141	0.0027072
NZ_CP050916.1	2790001	2800000	133	0.00268812
NZ_CP050916.1	2800001	2810000	164	0.00301433
NZ_CP050916.1	2810001	2820000	30	0.000284351
NZ_CP050916.1	2820001	2830000	26	0.000268484
NZ_CP050916.1	2830001	2840000	32	0.000317959
NZ_CP050916.1	2840001	2850000	30	0.000435646
NZ_CP050916.1	2850001	2860000	8	6.08665e-05
NZ_CP050916.1	2860001	2870000	13	0.000177778
NZ_CP050916.1	2870001	2880000	28	0.000299371
NZ_CP050916.1	2880001	2890000	10	0.00010587
NZ_CP050916.1	2890001	2900000	19	0.000183927
NZ_CP050916.1	2900001	2910000	17	7.72187e-05
NZ_CP050916.1	2910001	2920000	32	0.000285185
NZ_CP050916.1	2920001	2930000	145	0.00564535
NZ_CP050916.1	2930001	2940000	254	0.00488673
NZ_CP050916.1	2940001	2950000	60	0.000305598
NZ_CP050916.1	2950001	2960000	168	0.000901448
NZ_CP050916.1	2960001	2970000	25	0.00021373
NZ_CP050916.1	2970001	2980000	67	0.000471702
NZ_CP050916.1	2980001	2990000	146	0.00136447
NZ_CP050916.1	2990001	3000000	82	0.00110306
NZ_CP050916.1	3000001	3010000	191	0.00377398
NZ_CP050916.1	3010001	3020000	220	0.0039773
NZ_CP050916.1	3020001	3030000	151	0.00477794
NZ_CP050916.1	3030001	3040000	228	0.00849661
NZ_CP050916.1	3040001	3050000	71	0.0015113
NZ_CP050916.1	3050001	3060000	271	0.00953772
NZ_CP050916.1	3060001	3070000	33	0.000308595
NZ_CP050916.1	3070001	3080000	31	0.000272607
NZ_CP050916.1	3080001	3090000	35	0.000274493
NZ_CP050916.1	3090001	3100000	30	0.000322711
NZ_CP050916.1	3100001	3110000	17	0.000126345
NZ_CP050916.1	3110001	3120000	38	0.000363941
NZ_CP050916.1	3120001	3130000	21	0.000183159
NZ_CP050916.1	3130001	3140000	19	0.000210133
NZ_CP050916.1	3140001	3150000	36	0.000415167
NZ_CP050916.1	3150001	3160000	22	0.000224179
NZ_CP050916.1	3160001	3170000	32	0.000303913
NZ_CP050916.1	3170001	3180000	23	0.000262823
NZ_CP050916.1	3180001	3190000	18	0.000166038
NZ_CP050916.1	3190001	3200000	25	0.000267296
NZ_CP050916.1	3200001	3210000	39	0.000250384
NZ_CP050916.1	3210001	3220000	11	0.000116632
NZ_CP050916.1	3220001	3230000	31	0.000339762
NZ_CP050916.1	3230001	3240000	38	0.000550454
NZ_CP050916.1	3240001	3250000	27	0.000348498
NZ_CP050916.1	3250001	3260000	48	0.000587342
NZ_CP050916.1	3260001	3270000	12	0.000127533
NZ_CP050916.1	3270001	3280000	21	0.000202446
NZ_CP050916.1	3280001	3290000	37	0.000303983
NZ_CP050916.1	3290001	3300000	24	0.000279175
NZ_CP050916.1	3300001	3310000	26	0.000310552
NZ_CP050916.1	3310001	3320000	24	0.00026457
NZ_CP050916.1	3320001	3330000	6	0.0001058
NZ_CP050916.1	3330001	3340000	17	0.000244375
NZ_CP050916.1	3340001	3350000	30	0.000452694
NZ_CP050916.1	3350001	3360000	38	0.000495388
NZ_CP050916.1	3360001	3370000	21	0.000322502
NZ_CP050916.1	3370001	3380000	11	5.85604e-05
NZ_CP050916.1	3380001	3390000	30	0.000452061
NZ_CP050916.1	3390001	3400000	29	0.000255206
NZ_CP050916.1	3400001	3410000	20	0.000303634
NZ_CP050916.1	3410001	3420000	17	0.000142138
NZ_CP050916.1	3420001	3430000	25	0.000154577
NZ_CP050916.1	3430001	3440000	16	0.000146401
NZ_CP050916.1	3440001	3450000	8	8.63033e-05
NZ_CP050916.1	3450001	3460000	40	0.000375821
NZ_CP050916.1	3460001	3470000	21	0.000295038
NZ_CP050916.1	3470001	3480000	22	0.000252061
NZ_CP050916.1	3480001	3490000	38	0.000453459
NZ_CP050916.1	3490001	3500000	27	0.000398183
NZ_CP050916.1	3500001	3510000	16	0.000160168
NZ_CP050916.1	3510001	3520000	21	0.000291824
NZ_CP050916.1	3520001	3530000	20	0.000284277
NZ_CP050916.1	3530001	3540000	35	0.000449616
NZ_CP050916.1	3540001	3550000	13	0.000139133
NZ_CP050916.1	3550001	3560000	23	0.000244025
NZ_CP050916.1	3560001	3570000	20	0.000222921
NZ_CP050916.1	3570001	3580000	20	0.0002297
NZ_CP050916.1	3580001	3590000	17	0.000111391
NZ_CP050916.1	3590001	3600000	24	0.000330398
NZ_CP050916.1	3600001	3610000	22	0.000373166
NZ_CP050916.1	3610001	3620000	18	0.000125577
NZ_CP050916.1	3620001	3630000	11	0.000108945
NZ_CP050916.1	3630001	3640000	9	0.000101537
NZ_CP050916.1	3640001	3650000	20	0.000218449
NZ_CP050916.1	3650001	3660000	17	0.000177149
NZ_CP050916.1	3660001	3670000	13	0.000239413
NZ_CP050916.1	3670001	3680000	42	0.000586382
NZ_CP050916.1	3680001	3690000	24	0.000366317
NZ_CP050916.1	3690001	3700000	14	0.000177428
NZ_CP050916.1	3700001	3710000	16	0.000222711
NZ_CP050916.1	3710001	3720000	14	0.000203354
NZ_CP050916.1	3720001	3730000	33	0.000378616
NZ_CP050916.1	3730001	3740000	21	0.000171139
NZ_CP050916.1	3740001	3750000	7	3.99022e-05
NZ_CP050916.1	3750001	3760000	29	0.000333823
NZ_CP050916.1	3760001	3770000	28	0.000508812
NZ_CP050916.1	3770001	3780000	110	0.00205185
NZ_CP050916.1	3780001	3790000	25	0.000178197
NZ_CP050916.1	3790001	3800000	24	0.00038847
NZ_CP050916.1	3800001	3810000	21	0.000295597
NZ_CP050916.1	3810001	3820000	8	7.01607e-05
NZ_CP050916.1	3820001	3830000	40	0.000373445
NZ_CP050916.1	3830001	3840000	109	0.000858458
NZ_CP050916.1	3840001	3850000	159	0.00122302
NZ_CP050916.1	3850001	3860000	144	0.00117561
NZ_CP050916.1	3860001	3870000	271	0.00205695
NZ_CP050916.1	3870001	3880000	230	0.00171159
NZ_CP050916.1	3880001	3890000	184	0.00129392
NZ_CP050916.1	3890001	3900000	223	0.00167236
NZ_CP050916.1	3900001	3910000	231	0.00175129
NZ_CP050916.1	3910001	3920000	287	0.00349039
NZ_CP050916.1	3920001	3930000	462	0.013885
NZ_CP050916.1	3930001	3940000	73	0.00212297
NZ_CP050916.1	3940001	3950000	620	0.0213917
NZ_CP050916.1	3950001	3960000	252	0.00910955
NZ_CP050916.1	3960001	3970000	14	0.000226066
NZ_CP050916.1	3970001	3980000	4	7.78477e-05
NZ_CP050916.1	3980001	3990000	23	0.00019441
NZ_CP050916.1	3990001	4000000	53	0.000672467
NZ_CP050916.1	4000001	4010000	19	0.000231447
NZ_CP050916.1	4010001	4020000	36	0.000364096
